gene,log2fc,pvalue,neg_log10_p
GENE97,-0.595,0.09240749,1.034
GENE98,-0.449,0.04739749,1.324
GENE99,0.18,0.10498942,0.979
GENE100,-0.407,0.15790789,0.802
GENE101,-0.17,0.06948632,1.158
GENE102,0.585,0.01327119,1.877
GENE103,-0.16,0.04520329,1.345
GENE104,0.332,0.06271145,1.203
GENE105,-0.42,0.01928674,1.715
GENE106,-0.092,0.95499259,0.02
GENE107,-1.181,2.916e-05,4.535
GENE108,-0.153,0.50544836,0.296
GENE109,0.378,0.08132675,1.09
GENE110,-0.777,0.04002637,1.398
GENE111,-1.321,3.246e-05,4.489
GENE112,0.107,0.03445091,1.463
GENE113,-0.267,0.16291246,0.788
GENE114,-0.651,0.02265521,1.645
GENE115,0.032,0.40198594,0.396
GENE116,-0.238,0.14015476,0.853
GENE117,0.105,0.24266148,0.615
GENE118,0.01,0.21528427,0.667
GENE119,0.721,0.00809787,2.092
GENE120,-0.108,0.04382502,1.358
GENE121,-0.461,0.04974867,1.303
GENE122,0.081,0.14443058,0.84
GENE123,1.034,0.00024871,3.604
GENE124,0.612,0.04380374,1.358
GENE125,0.376,0.03502512,1.456
GENE126,-1.426,5.67e-06,5.247
GENE127,0.658,0.02717202,1.566
GENE128,-0.535,0.02098749,1.678
GENE129,-0.288,0.07637097,1.117
GENE130,-0.417,0.02309806,1.636
GENE131,-0.175,0.1405711,0.852
GENE132,-0.62,0.05621156,1.25
GENE133,1.645,3.141e-05,4.503
GENE134,1.517,0.00067108,3.173
GENE135,-0.662,0.02248092,1.648
GENE136,-2.011,0.00100799,2.997
GENE137,1.536,0.00067925,3.168
GENE138,0.377,0.05782436,1.238
GENE139,0.899,0.00875774,2.058
GENE140,1.311,0.01098181,1.959
GENE141,0.186,0.38141287,0.419
GENE142,-0.445,0.01750063,1.757
GENE143,-0.959,0.01908584,1.719
GENE144,-1.459,1.58e-05,4.801
GENE145,-0.366,0.09634685,1.016
GENE146,-0.187,0.11930868,0.923
GENE147,-0.275,0.02485816,1.605
GENE148,1.262,0.00032404,3.489
GENE149,0.48,0.18093958,0.742
GENE150,0.071,0.30891285,0.51
GENE151,-0.071,0.28534945,0.545
GENE152,-0.466,0.27654464,0.558
GENE153,-1.94,2.07e-06,5.685
GENE154,-0.219,0.35057963,0.455
GENE155,-0.024,0.12488943,0.903
GENE156,1.056,0.00025456,3.594
GENE157,0.059,0.3858261,0.414
GENE158,0.442,0.08171863,1.088
GENE159,-0.225,0.12628053,0.899
GENE160,-0.533,0.02792128,1.554
GENE161,-0.434,0.21217859,0.673
GENE162,-0.326,0.32573862,0.487
GENE163,-1.623,5.38e-05,4.269
GENE164,-0.37,0.14542343,0.837
GENE165,0.377,0.40062009,0.397
GENE166,-0.406,0.0525403,1.28
GENE167,0.419,0.04917127,1.308
GENE168,-1.192,0.00057764,3.238
GENE169,-0.07,0.21750953,0.663
GENE170,-0.018,0.15507998,0.809
GENE171,-1.819,1.35e-05,4.87
GENE172,0.201,0.09004777,1.046
GENE173,-0.205,0.73209951,0.135
GENE174,-0.552,0.03516996,1.454
GENE175,-0.575,0.06234727,1.205
GENE176,-1.52,9.023e-05,4.045
GENE177,-1.087,8.073e-05,4.093
GENE178,-1.472,2.66e-06,5.576
GENE179,-0.053,0.04568601,1.34
GENE180,0.129,0.05740804,1.241
GENE181,0.588,0.04880274,1.312
GENE182,0.099,0.17308388,0.762
GENE183,-0.185,0.08285295,1.082
GENE184,0.498,0.05294605,1.276
GENE185,0.193,0.15563186,0.808
GENE186,-1.94,1.6e-06,5.796
GENE187,0.082,0.28110668,0.551
GENE188,-0.551,0.105709,0.976
GENE189,-0.616,0.06056502,1.218
GENE190,-1.061,0.00031607,3.5
GENE191,-1.366,0.00021618,3.665
GENE192,-0.081,0.1869351,0.728
GENE193,-0.172,0.09576155,1.019
GENE194,0.658,0.05004046,1.301
GENE195,-0.498,0.02738571,1.562
GENE196,-1.665,5.18e-06,5.285
GENE197,-0.903,0.00302382,2.519
GENE198,-0.178,0.04224018,1.374
GENE199,-0.002,0.5912384,0.228
GENE200,-0.074,0.95499259,0.02
GENE201,0.152,0.60927228,0.215
GENE202,0.633,0.10659865,0.972
GENE203,0.041,0.29062906,0.537
GENE204,-1.598,1.102e-05,4.958
GENE205,-0.923,0.01868871,1.728
GENE206,-0.022,0.17264461,0.763
GENE207,-0.379,0.06440254,1.191
GENE208,-0.548,0.0361124,1.442
GENE209,2.101,1.14e-06,5.944
GENE210,1.264,0.00014984,3.824
GENE211,0.412,0.72399736,0.14
GENE212,-0.597,0.06149479,1.211
GENE213,0.014,0.95499259,0.02
GENE214,-0.218,0.15705973,0.804
GENE215,-0.147,0.21063612,0.676
GENE216,0.451,0.02399313,1.62
GENE217,0.242,0.04367461,1.36
GENE218,0.602,0.03356727,1.474
GENE219,-1.46,3.13e-05,4.504
GENE220,-0.313,0.07018714,1.154
GENE221,-0.101,0.42797797,0.369
GENE222,1.757,3.35e-06,5.475
GENE223,0.079,0.09617866,1.017
GENE224,-0.488,0.11082466,0.955
GENE225,0.041,0.13314596,0.876
GENE226,1.896,4.6e-06,5.338
GENE227,1.133,0.01673856,1.776
GENE228,2.031,7.1e-07,6.149
GENE229,-0.384,0.04370266,1.359
GENE230,-0.129,0.2012257,0.696
GENE231,-0.659,0.07452376,1.128
GENE232,-0.266,0.334676,0.475
GENE233,0.142,0.37309005,0.428
GENE234,0.543,0.02915745,1.535
GENE235,-2.0,1.405e-05,4.852
GENE236,-0.294,0.0788592,1.103
GENE237,-0.966,0.04083719,1.389
GENE238,-0.073,0.33757586,0.472
GENE239,-0.478,0.05749426,1.24
GENE240,1.71,6.6e-07,6.179
GENE241,-0.395,0.36156106,0.442
GENE242,-0.042,0.06635067,1.178
GENE243,-0.791,0.01805325,1.743
GENE244,-0.66,0.02196386,1.658
GENE245,0.958,0.01027055,1.988
GENE246,-0.579,0.02830712,1.548
GENE247,-0.494,0.07147437,1.146
GENE248,0.827,0.00411557,2.386
GENE249,1.3,0.00023824,3.623
GENE250,-0.527,0.01672348,1.777
GENE251,-1.064,0.00042936,3.367
GENE252,0.154,0.21821185,0.661
GENE253,0.778,0.06708363,1.173
GENE254,-0.444,0.04538439,1.343
GENE255,-0.11,0.05353182,1.271
GENE256,0.35,0.11031062,0.957
GENE257,0.196,0.21644583,0.665
GENE258,-0.169,0.61547267,0.211
GENE259,-0.06,0.36294446,0.44
GENE260,-0.619,0.20312697,0.692
GENE261,1.917,5.104e-05,4.292
GENE262,-0.12,0.18286939,0.738
GENE263,0.104,0.06230251,1.205
GENE264,-0.25,0.00791616,2.101
GENE265,0.212,0.30553796,0.515
GENE266,0.456,0.01576688,1.802
GENE267,0.07,0.21473331,0.668
GENE268,0.158,0.23589099,0.627
GENE269,0.024,0.2080926,0.682
GENE270,0.0,0.33271986,0.478
GENE271,-0.325,0.09931965,1.003
GENE272,0.142,0.32583308,0.487
GENE273,-0.044,0.95499259,0.02
GENE274,0.942,0.06090409,1.215
GENE275,0.708,0.0144087,1.841
GENE276,0.174,0.25432384,0.595
GENE277,-0.343,0.19320021,0.714
GENE278,-0.501,0.05892037,1.23
GENE279,0.536,0.02298573,1.639
GENE280,0.118,0.19300504,0.714
GENE281,0.216,0.32383568,0.49
GENE282,-0.945,3.471e-05,4.46
GENE283,0.417,0.0155768,1.808
GENE284,0.204,0.10244513,0.99
GENE285,-0.5,0.02174333,1.663
GENE286,-0.212,0.04594407,1.338
GENE287,0.119,0.07202986,1.142
GENE288,0.024,0.17260755,0.763
GENE289,-0.131,0.11938628,0.923
GENE290,-0.047,0.1753758,0.756
GENE291,-0.113,0.73798534,0.132
GENE292,0.069,0.1343576,0.872
GENE293,0.662,0.13606632,0.866
GENE294,-1.155,0.01310163,1.883
GENE295,-0.107,0.0628337,1.202
GENE296,0.079,0.111888,0.951
GENE297,0.133,0.04722968,1.326
GENE298,-0.167,0.25872777,0.587
GENE299,-0.791,0.0696945,1.157
GENE300,1.299,3.511e-05,4.455
GENE301,0.777,0.01991862,1.701
GENE302,-1.407,4.052e-05,4.392
GENE303,-2.193,4.12e-06,5.385
GENE304,-0.148,0.30438647,0.517
GENE305,2.079,8.4e-07,6.075
GENE306,-0.474,0.18217363,0.74
GENE307,-0.151,0.13003913,0.886
GENE308,2.049,2.007e-05,4.697
GENE309,0.262,0.30270108,0.519
GENE310,0.78,0.02804374,1.552
GENE311,0.53,0.06480885,1.188
GENE312,0.198,0.23190326,0.635
GENE313,0.785,0.00343955,2.463
GENE314,0.198,0.19413461,0.712
GENE315,0.373,0.12084578,0.918
GENE316,2.205,8.96e-06,5.048
GENE317,0.03,0.80533691,0.094
GENE318,-0.314,0.15203022,0.818
GENE319,0.445,0.14736655,0.832
GENE320,-1.154,8.47e-06,5.072
GENE321,0.352,0.11982092,0.921
GENE322,-0.086,0.06874181,1.163
GENE323,0.527,0.05073271,1.295
GENE324,0.338,0.10221541,0.99
GENE325,0.819,0.02089574,1.68
GENE326,0.329,0.10928897,0.961
GENE327,-0.707,0.00478679,2.32
GENE328,-0.03,0.95499259,0.02
GENE329,-0.527,0.42975463,0.367
GENE330,-0.233,0.27097341,0.567
GENE331,0.68,0.03085891,1.511
GENE332,0.287,0.06234092,1.205
GENE333,-0.315,0.07073051,1.15
GENE334,-1.228,8.35e-05,4.078
GENE335,0.015,0.11710214,0.931
GENE336,-0.547,0.01729264,1.762
GENE337,-0.302,0.09978233,1.001
GENE338,0.14,0.07928253,1.101
GENE339,0.52,0.04182919,1.379
GENE340,0.274,0.23881205,0.622
GENE341,-1.427,5.86e-06,5.232
GENE342,0.137,0.19405655,0.712
GENE343,0.032,0.3156121,0.501
GENE344,0.186,0.03967185,1.402
GENE345,0.727,0.33541788,0.474
GENE346,-0.928,0.05608532,1.251
GENE347,-1.536,8.45e-05,4.073
GENE348,0.266,0.20012905,0.699
GENE349,-0.712,0.03642601,1.439
GENE350,0.664,0.15806004,0.801
GENE351,0.166,0.54499482,0.264
GENE352,0.381,0.22227285,0.653
GENE353,-0.257,0.01111542,1.954
GENE354,0.366,0.01484622,1.828
GENE355,0.481,0.0977301,1.01
GENE356,0.105,0.3557788,0.449
GENE357,-1.854,0.00010897,3.963
GENE358,0.943,0.00276097,2.559
GENE359,-0.389,0.10009509,1.0
GENE360,-0.066,0.78728529,0.104
GENE361,-0.069,0.30324823,0.518
GENE362,0.173,0.95499259,0.02
GENE363,0.45,0.1568596,0.804
GENE364,1.279,8.798e-05,4.056
GENE365,-0.056,0.19861493,0.702
GENE366,0.667,0.02132173,1.671
GENE367,0.783,0.0004419,3.355
GENE368,-0.37,0.03907258,1.408
GENE369,0.091,0.58747135,0.231
GENE370,0.38,0.04745208,1.324
GENE371,0.005,0.35222302,0.453
GENE372,0.598,0.17475289,0.758
GENE373,0.386,0.12435841,0.905
GENE374,0.379,0.06286614,1.202
GENE375,0.249,0.07720925,1.112
GENE376,2.429,1.82e-06,5.74
GENE377,-0.092,0.05219143,1.282
GENE378,-0.902,0.00500223,2.301
GENE379,-0.928,0.00050916,3.293
GENE380,-0.206,0.07819875,1.107
GENE381,0.049,0.04022966,1.395
GENE382,0.589,0.00568029,2.246
GENE383,-0.721,0.09661041,1.015
GENE384,-0.563,0.12414121,0.906
GENE385,1.957,6.6e-07,6.182
GENE386,-0.357,0.29669922,0.528
GENE387,0.198,0.68944079,0.162
GENE388,0.236,0.25302669,0.597
GENE389,0.124,0.14729796,0.832
GENE390,-0.636,0.04080133,1.389
GENE391,-1.04,0.01703949,1.769
GENE392,0.024,0.65385881,0.185
GENE393,-0.212,0.34792681,0.459
GENE394,0.207,0.42204403,0.375
GENE395,0.316,0.01080569,1.966
GENE396,0.062,0.20878371,0.68
GENE397,0.342,0.04176049,1.379
GENE398,0.103,0.40757724,0.39
GENE399,0.239,0.18363708,0.736
GENE400,-0.317,0.23965676,0.62
GENE401,-0.081,0.95499259,0.02
GENE402,1.859,7.79e-06,5.109
GENE403,0.369,0.62009723,0.208
GENE404,-0.177,0.95499259,0.02
GENE405,0.235,0.53014831,0.276
GENE406,-0.12,0.05866072,1.232
GENE407,-0.053,0.3076172,0.512
GENE408,2.333,9e-08,7.037
GENE409,-0.897,0.0094384,2.025
GENE410,-0.583,0.01965889,1.706
GENE411,-0.667,0.0834794,1.078
GENE412,-1.05,0.00485875,2.313
GENE413,-0.305,0.0561034,1.251
GENE414,0.337,0.19353572,0.713
GENE415,-0.128,0.12574774,0.9
GENE416,0.089,0.14363389,0.843
GENE417,0.49,0.10903589,0.962
GENE418,0.597,0.13464329,0.871
GENE419,1.304,4.838e-05,4.315
GENE420,-1.169,2.106e-05,4.676
GENE421,0.041,0.21806563,0.661
GENE422,-0.377,0.21016063,0.677
GENE423,-0.267,0.13287472,0.877
GENE424,-0.666,0.0182215,1.739
GENE425,-0.4,0.04490977,1.348
GENE426,-0.161,0.0399887,1.398
GENE427,1.081,4.904e-05,4.309
GENE428,-1.546,6.107e-05,4.214
GENE429,-0.622,0.00673464,2.172
GENE430,0.177,0.32729718,0.485
GENE431,-0.468,0.02259581,1.646
GENE432,0.214,0.15427828,0.812
GENE433,-0.059,0.44058964,0.356
GENE434,-0.824,0.12201319,0.914
GENE435,1.217,3.806e-05,4.42
GENE436,1.257,0.00061636,3.21
GENE437,-0.24,0.05524843,1.258
GENE438,-0.481,0.01322181,1.879
GENE439,-0.294,0.28330051,0.548
GENE440,0.193,0.13051475,0.884
GENE441,-0.085,0.5551729,0.256
GENE442,0.148,0.40139909,0.396
GENE443,0.163,0.08892767,1.051
GENE444,1.911,2.322e-05,4.634
GENE445,-0.154,0.03373378,1.472
GENE446,1.613,0.00023892,3.622
GENE447,0.48,0.022694,1.644
GENE448,-0.149,0.18834364,0.725
GENE449,0.502,0.02596998,1.586
GENE450,0.173,0.30465998,0.516
GENE451,-0.059,0.30257501,0.519
GENE452,0.157,0.22840379,0.641
GENE453,0.796,0.00152688,2.816
GENE454,0.935,0.00635872,2.197
GENE455,0.031,0.16180599,0.791
GENE456,0.072,0.14830898,0.829
GENE457,0.484,0.0128141,1.892
GENE458,-0.381,0.02032106,1.692
GENE459,0.15,0.30648451,0.514
GENE460,1.975,4.38e-06,5.358
GENE461,0.141,0.40894917,0.388
GENE462,-0.375,0.09082708,1.042
GENE463,-0.715,0.05142377,1.289
GENE464,1.566,2.72e-06,5.566
GENE465,-0.503,0.0404539,1.393
GENE466,-0.206,0.21290561,0.672
GENE467,-0.132,0.06432362,1.192
GENE468,0.872,0.149816,0.824
GENE469,0.498,0.4840785,0.315
GENE470,-0.433,0.03317524,1.479
GENE471,0.156,0.1906613,0.72
GENE472,-0.183,0.14235152,0.847
GENE473,-0.128,0.88824847,0.051
GENE474,0.083,0.26989232,0.569
GENE475,0.279,0.01646451,1.783
GENE476,-0.153,0.08759461,1.058
GENE477,-1.534,1.842e-05,4.735
GENE478,-0.514,0.08934543,1.049
GENE479,0.003,0.52861111,0.277
GENE480,1.169,0.04968916,1.304
GENE481,0.1,0.18987321,0.722
GENE482,0.645,0.0147865,1.83
GENE483,0.041,0.95499259,0.02
GENE484,0.261,0.27704198,0.557
GENE485,-0.026,0.95499259,0.02
GENE486,-0.077,0.73375107,0.134
GENE487,-0.351,0.09599405,1.018
GENE488,-1.413,0.00058788,3.231
GENE489,-0.383,0.04782237,1.32
GENE490,0.3,0.05578527,1.253
GENE491,0.488,0.08053942,1.094
GENE492,0.165,0.95499259,0.02
GENE493,-0.129,0.62911478,0.201
GENE494,0.204,0.04770382,1.321
GENE495,-2.019,0.00069525,3.158
GENE496,0.421,0.11319869,0.946
GENE497,-0.824,0.06362014,1.196
GENE498,1.225,0.00029551,3.529
GENE499,-0.896,0.02918837,1.535
GENE500,-0.673,0.02115513,1.675
GENE501,-1.75,2.15e-06,5.667
GENE502,0.403,0.01256918,1.901
GENE503,-0.324,0.13787528,0.861
GENE504,1.311,0.00026563,3.576
GENE505,-1.334,0.01414217,1.849
GENE506,-0.245,0.04317435,1.365
GENE507,1.089,0.01599519,1.796
GENE508,0.196,0.31550598,0.501
GENE509,-1.546,2.814e-05,4.551
GENE510,0.209,0.84899378,0.071
GENE511,-1.568,1.077e-05,4.968
GENE512,-0.134,0.08077131,1.093
GENE513,0.045,0.22325143,0.651
GENE514,-0.039,0.95499259,0.02
GENE515,0.356,0.11327313,0.946
GENE516,1.672,1.02e-05,4.991
GENE517,0.301,0.84905837,0.071
GENE518,-0.31,0.35768855,0.446
GENE519,0.404,0.03383211,1.471
GENE520,-1.391,7.63e-05,4.117
GENE521,-0.437,0.04874538,1.312
GENE522,-1.284,3.735e-05,4.428
GENE523,0.601,0.02555299,1.593
GENE524,-0.086,0.13197387,0.88
GENE525,0.632,0.00224388,2.649
GENE526,-0.199,0.21754214,0.662
GENE527,0.655,0.07837056,1.106
GENE528,0.059,0.18440821,0.734
GENE529,1.893,1.8e-06,5.745
GENE530,1.57,0.00014686,3.833
GENE531,-0.163,0.5784206,0.238
GENE532,-1.604,5.5e-07,6.259
GENE533,-0.202,0.12304016,0.91
GENE534,0.204,0.36645908,0.436
GENE535,-0.705,0.01111001,1.954
GENE536,0.287,0.1427182,0.846
GENE537,1.509,0.00024199,3.616
GENE538,2.004,2.05e-06,5.687
GENE539,-1.458,0.00033704,3.472
GENE540,-0.354,0.06961264,1.157
GENE541,-1.477,6.91e-06,5.161
GENE542,-0.372,0.05806641,1.236
GENE543,0.111,0.35200471,0.453
GENE544,-0.081,0.44997336,0.347
GENE545,-0.114,0.36134507,0.442
GENE546,-0.072,0.35748001,0.447
GENE547,0.092,0.378573,0.422
GENE548,-0.454,0.02717728,1.566
GENE549,0.318,0.68693631,0.163
GENE550,0.298,0.05010608,1.3
GENE551,0.173,0.28333157,0.548
GENE552,0.25,0.09821808,1.008
GENE553,0.133,0.70858671,0.15
GENE554,0.916,0.0034092,2.467
GENE555,-1.579,3.149e-05,4.502
GENE556,-2.192,6.6e-07,6.18
GENE557,-0.339,0.50822282,0.294
GENE558,-0.465,0.02863468,1.543
GENE559,-0.56,0.03160794,1.5
GENE560,-0.4,0.44919606,0.348
GENE561,-0.032,0.32481364,0.488
GENE562,1.579,2.014e-05,4.696
GENE563,0.023,0.18369382,0.736
GENE564,-0.344,0.08635183,1.064
GENE565,0.405,0.06181119,1.209
GENE566,0.333,0.02350361,1.629
GENE567,-0.072,0.07707793,1.113
GENE568,-0.294,0.95499259,0.02
GENE569,-1.758,0.00013991,3.854
GENE570,0.085,0.3111583,0.507
GENE571,-0.652,0.21299803,0.672
GENE572,-0.031,0.28853692,0.54
GENE573,0.118,0.06386884,1.195
GENE574,-0.405,0.25788045,0.589
GENE575,0.085,0.18458815,0.734
GENE576,-1.731,3.379e-05,4.471
GENE577,1.846,0.00014316,3.844
GENE578,0.562,0.01034493,1.985
GENE579,-0.114,0.41497332,0.382
GENE580,0.164,0.12260127,0.912
GENE581,-1.084,0.05141947,1.289
GENE582,-0.52,0.00804275,2.095
GENE583,-0.132,0.11854837,0.926
GENE584,-0.482,0.07661471,1.116
GENE585,0.321,0.06204582,1.207
GENE586,1.654,3.963e-05,4.402
GENE587,-0.529,0.01574608,1.803
GENE588,-0.377,0.12931903,0.888
GENE589,0.106,0.30033507,0.522
GENE590,-1.409,1.997e-05,4.7
GENE591,-0.55,0.09092578,1.041
GENE592,0.112,0.11579653,0.936
GENE593,0.82,0.01460448,1.836
GENE594,-0.743,0.01272364,1.895
GENE595,-0.576,0.04575218,1.34
GENE596,-0.191,0.10558312,0.976
GENE597,-0.234,0.23734032,0.625
GENE598,0.366,0.00954622,2.02
GENE599,0.109,0.95499259,0.02
GENE600,-0.799,0.00555319,2.255
