indicator,timepoint,module,value,row_order
Inflammation | CRP,T01,Inflammation,0.387,1
Inflammation | IL8,T30,Inflammation,-0.895,3
Inflammation | IL8,T31,Inflammation,-0.66,3
Inflammation | IL8,T32,Inflammation,-0.438,3
Inflammation | IL8,T33,Inflammation,0.161,3
Inflammation | IL8,T34,Inflammation,0.423,3
Inflammation | IL8,T35,Inflammation,0.566,3
Inflammation | IL8,T36,Inflammation,0.646,3
Inflammation | TNFA,T01,Inflammation,1.016,4
Inflammation | TNFA,T02,Inflammation,1.127,4
Inflammation | TNFA,T03,Inflammation,1.601,4
Inflammation | TNFA,T04,Inflammation,1.514,4
Inflammation | TNFA,T05,Inflammation,1.788,4
Inflammation | TNFA,T06,Inflammation,1.661,4
Inflammation | TNFA,T07,Inflammation,1.454,4
Inflammation | TNFA,T08,Inflammation,1.338,4
Inflammation | TNFA,T09,Inflammation,0.914,4
Inflammation | TNFA,T10,Inflammation,0.631,4
Inflammation | TNFA,T11,Inflammation,0.064,4
Inflammation | TNFA,T12,Inflammation,-0.169,4
Inflammation | TNFA,T13,Inflammation,-0.514,4
Inflammation | TNFA,T14,Inflammation,-0.591,4
Inflammation | TNFA,T15,Inflammation,-0.232,4
Inflammation | TNFA,T16,Inflammation,-0.194,4
Inflammation | TNFA,T17,Inflammation,-0.366,4
Inflammation | TNFA,T18,Inflammation,-0.447,4
Inflammation | TNFA,T19,Inflammation,-0.425,4
Inflammation | TNFA,T20,Inflammation,-0.393,4
Inflammation | TNFA,T21,Inflammation,-0.672,4
Inflammation | TNFA,T22,Inflammation,-0.799,4
Inflammation | TNFA,T23,Inflammation,-1.055,4
Inflammation | TNFA,T24,Inflammation,-1.334,4
Inflammation | TNFA,T25,Inflammation,-1.504,4
Inflammation | TNFA,T26,Inflammation,-1.505,4
Inflammation | TNFA,T27,Inflammation,-1.593,4
Inflammation | TNFA,T28,Inflammation,-1.302,4
Inflammation | TNFA,T29,Inflammation,-1.143,4
Inflammation | TNFA,T30,Inflammation,-0.77,4
Inflammation | TNFA,T31,Inflammation,-0.303,4
Inflammation | TNFA,T32,Inflammation,-0.108,4
Inflammation | TNFA,T33,Inflammation,0.324,4
Inflammation | TNFA,T34,Inflammation,0.347,4
Inflammation | TNFA,T35,Inflammation,0.711,4
Inflammation | TNFA,T36,Inflammation,0.93,4
Inflammation | IL1B,T01,Inflammation,1.291,5
Inflammation | IL1B,T02,Inflammation,1.091,5
Inflammation | IL1B,T03,Inflammation,1.516,5
Inflammation | IL1B,T04,Inflammation,1.861,5
Inflammation | IL1B,T05,Inflammation,1.698,5
Inflammation | IL1B,T06,Inflammation,1.73,5
Inflammation | IL1B,T07,Inflammation,1.605,5
Inflammation | IL1B,T08,Inflammation,1.252,5
Inflammation | IL1B,T09,Inflammation,0.968,5
Inflammation | IL1B,T10,Inflammation,0.371,5
Inflammation | IL1B,T11,Inflammation,0.044,5
Inflammation | IL1B,T12,Inflammation,-0.473,5
Inflammation | IL1B,T13,Inflammation,-0.72,5
Inflammation | IL1B,T14,Inflammation,-0.75,5
Inflammation | IL1B,T15,Inflammation,-0.85,5
Inflammation | IL1B,T16,Inflammation,-0.599,5
Inflammation | IL1B,T17,Inflammation,-0.604,5
Inflammation | IL1B,T18,Inflammation,-0.548,5
Inflammation | IL1B,T19,Inflammation,-0.365,5
Inflammation | IL1B,T20,Inflammation,-0.56,5
Inflammation | IL1B,T21,Inflammation,-0.429,5
Inflammation | IL1B,T22,Inflammation,-0.729,5
Inflammation | IL1B,T23,Inflammation,-0.755,5
Inflammation | IL1B,T24,Inflammation,-1.152,5
Inflammation | IL1B,T25,Inflammation,-1.22,5
Inflammation | IL1B,T26,Inflammation,-1.37,5
Inflammation | IL1B,T27,Inflammation,-1.291,5
Inflammation | IL1B,T28,Inflammation,-1.23,5
Inflammation | IL1B,T29,Inflammation,-1.199,5
Inflammation | IL1B,T30,Inflammation,-0.602,5
Inflammation | IL1B,T31,Inflammation,-0.399,5
Inflammation | IL1B,T32,Inflammation,0.029,5
Inflammation | IL1B,T33,Inflammation,0.328,5
Inflammation | IL1B,T34,Inflammation,0.437,5
Inflammation | IL1B,T35,Inflammation,0.644,5
Inflammation | IL1B,T36,Inflammation,0.979,5
Inflammation | MCP1,T01,Inflammation,1.008,6
Inflammation | MCP1,T02,Inflammation,1.42,6
Inflammation | MCP1,T03,Inflammation,1.51,6
Inflammation | MCP1,T04,Inflammation,1.856,6
Inflammation | MCP1,T05,Inflammation,1.88,6
Inflammation | MCP1,T06,Inflammation,1.823,6
Inflammation | MCP1,T07,Inflammation,1.52,6
Inflammation | MCP1,T08,Inflammation,1.206,6
Inflammation | MCP1,T09,Inflammation,0.815,6
Inflammation | MCP1,T10,Inflammation,0.1,6
Inflammation | MCP1,T11,Inflammation,-0.325,6
Inflammation | MCP1,T12,Inflammation,-0.77,6
Inflammation | MCP1,T13,Inflammation,-0.994,6
Inflammation | MCP1,T14,Inflammation,-0.876,6
Inflammation | MCP1,T15,Inflammation,-0.913,6
Inflammation | MCP1,T16,Inflammation,-0.943,6
Inflammation | MCP1,T17,Inflammation,-0.765,6
Inflammation | MCP1,T18,Inflammation,-0.716,6
Inflammation | MCP1,T19,Inflammation,-0.512,6
Inflammation | MCP1,T20,Inflammation,-0.379,6
Inflammation | MCP1,T21,Inflammation,-0.326,6
Inflammation | MCP1,T22,Inflammation,-0.448,6
Inflammation | MCP1,T23,Inflammation,-0.87,6
Inflammation | MCP1,T24,Inflammation,-0.812,6
Inflammation | MCP1,T25,Inflammation,-1.139,6
Inflammation | MCP1,T26,Inflammation,-1.368,6
Inflammation | MCP1,T27,Inflammation,-1.072,6
Inflammation | MCP1,T28,Inflammation,-0.945,6
Inflammation | MCP1,T29,Inflammation,-0.893,6
Inflammation | MCP1,T30,Inflammation,-0.564,6
Inflammation | MCP1,T31,Inflammation,-0.254,6
Inflammation | MCP1,T32,Inflammation,0.133,6
Inflammation | MCP1,T33,Inflammation,0.334,6
Inflammation | MCP1,T34,Inflammation,0.324,6
Inflammation | MCP1,T35,Inflammation,0.966,6
Inflammation | MCP1,T36,Inflammation,0.992,6
Inflammation | Ferritin,T01,Inflammation,1.027,7
Inflammation | Ferritin,T02,Inflammation,1.187,7
Inflammation | Ferritin,T03,Inflammation,1.628,7
Inflammation | Ferritin,T04,Inflammation,1.704,7
Inflammation | Ferritin,T05,Inflammation,1.885,7
Inflammation | Ferritin,T06,Inflammation,1.887,7
Inflammation | Ferritin,T07,Inflammation,1.452,7
Inflammation | Ferritin,T08,Inflammation,0.932,7
Inflammation | Ferritin,T09,Inflammation,0.565,7
Inflammation | Ferritin,T10,Inflammation,-0.187,7
Inflammation | Ferritin,T11,Inflammation,-0.655,7
Inflammation | Ferritin,T12,Inflammation,-1.295,7
Inflammation | Ferritin,T13,Inflammation,-1.402,7
Inflammation | Ferritin,T14,Inflammation,-1.356,7
Inflammation | Ferritin,T15,Inflammation,-1.316,7
Inflammation | Ferritin,T16,Inflammation,-1.347,7
Inflammation | Ferritin,T17,Inflammation,-1.167,7
Inflammation | Ferritin,T18,Inflammation,-0.742,7
Inflammation | Ferritin,T19,Inflammation,-0.428,7
Inflammation | Ferritin,T20,Inflammation,-0.275,7
Inflammation | Ferritin,T21,Inflammation,-0.323,7
Inflammation | Ferritin,T22,Inflammation,-0.231,7
Inflammation | Ferritin,T23,Inflammation,-0.172,7
Inflammation | Ferritin,T24,Inflammation,-0.518,7
Inflammation | Ferritin,T25,Inflammation,-0.936,7
Inflammation | Ferritin,T26,Inflammation,-0.778,7
Inflammation | Ferritin,T27,Inflammation,-0.527,7
Inflammation | Ferritin,T28,Inflammation,-0.906,7
Inflammation | Ferritin,T29,Inflammation,-0.545,7
Inflammation | Ferritin,T30,Inflammation,-0.352,7
Inflammation | Ferritin,T31,Inflammation,-0.055,7
Inflammation | Ferritin,T32,Inflammation,0.209,7
Inflammation | Ferritin,T33,Inflammation,0.575,7
Inflammation | Ferritin,T34,Inflammation,0.629,7
Inflammation | Ferritin,T35,Inflammation,0.961,7
Inflammation | Ferritin,T36,Inflammation,0.871,7
Inflammation | ESR,T01,Inflammation,0.933,8
Inflammation | ESR,T02,Inflammation,1.084,8
Inflammation | ESR,T03,Inflammation,1.112,8
Inflammation | ESR,T04,Inflammation,1.637,8
Inflammation | ESR,T05,Inflammation,2.023,8
Inflammation | ESR,T06,Inflammation,1.704,8
Inflammation | ESR,T07,Inflammation,1.466,8
Inflammation | ESR,T08,Inflammation,0.798,8
Inflammation | ESR,T09,Inflammation,0.18,8
Inflammation | ESR,T10,Inflammation,-0.315,8
Inflammation | ESR,T11,Inflammation,-0.774,8
Inflammation | ESR,T12,Inflammation,-1.327,8
Inflammation | ESR,T13,Inflammation,-1.707,8
Inflammation | ESR,T14,Inflammation,-1.896,8
Inflammation | ESR,T15,Inflammation,-1.755,8
Inflammation | ESR,T16,Inflammation,-1.656,8
Inflammation | ESR,T17,Inflammation,-1.42,8
Inflammation | ESR,T18,Inflammation,-0.979,8
Inflammation | ESR,T19,Inflammation,-0.413,8
Inflammation | ESR,T20,Inflammation,-0.156,8
Inflammation | ESR,T21,Inflammation,-0.139,8
Inflammation | ESR,T22,Inflammation,0.172,8
Inflammation | ESR,T23,Inflammation,0.089,8
Inflammation | ESR,T24,Inflammation,-0.166,8
Inflammation | ESR,T25,Inflammation,-0.177,8
Inflammation | ESR,T26,Inflammation,-0.276,8
Inflammation | ESR,T27,Inflammation,-0.359,8
Inflammation | ESR,T28,Inflammation,-0.062,8
Inflammation | ESR,T29,Inflammation,-0.403,8
Inflammation | ESR,T30,Inflammation,-0.263,8
Inflammation | ESR,T31,Inflammation,0.222,8
Inflammation | ESR,T32,Inflammation,0.393,8
Inflammation | ESR,T33,Inflammation,0.58,8
Inflammation | ESR,T34,Inflammation,0.542,8
Inflammation | ESR,T35,Inflammation,0.563,8
Inflammation | ESR,T36,Inflammation,0.748,8
Metabolic | Glucose,T01,Metabolic,0.873,9
Metabolic | Glucose,T02,Metabolic,1.2,9
Metabolic | Glucose,T03,Metabolic,1.071,9
Metabolic | Glucose,T04,Metabolic,1.092,9
Metabolic | Glucose,T05,Metabolic,1.291,9
Metabolic | Glucose,T06,Metabolic,0.953,9
Metabolic | Glucose,T07,Metabolic,0.967,9
Metabolic | Glucose,T08,Metabolic,0.949,9
Metabolic | Glucose,T09,Metabolic,0.971,9
Metabolic | Glucose,T10,Metabolic,0.96,9
Metabolic | Glucose,T11,Metabolic,0.967,9
Metabolic | Glucose,T12,Metabolic,0.919,9
Metabolic | Glucose,T13,Metabolic,0.74,9
Metabolic | Glucose,T14,Metabolic,0.653,9
Metabolic | Glucose,T15,Metabolic,0.61,9
Metabolic | Glucose,T16,Metabolic,0.311,9
Metabolic | Glucose,T17,Metabolic,0.011,9
Metabolic | Glucose,T18,Metabolic,-0.143,9
Metabolic | Glucose,T19,Metabolic,-0.54,9
Metabolic | Glucose,T20,Metabolic,-0.736,9
Metabolic | Glucose,T21,Metabolic,-0.9,9
Metabolic | Glucose,T22,Metabolic,-1.134,9
Metabolic | Glucose,T23,Metabolic,-1.612,9
Metabolic | Glucose,T24,Metabolic,-1.765,9
Metabolic | Glucose,T25,Metabolic,-1.581,9
Metabolic | Glucose,T26,Metabolic,-1.763,9
Metabolic | Glucose,T27,Metabolic,-1.47,9
Metabolic | Glucose,T28,Metabolic,-1.433,9
Metabolic | Glucose,T29,Metabolic,-1.18,9
Metabolic | Glucose,T30,Metabolic,-0.952,9
Metabolic | Glucose,T31,Metabolic,-0.527,9
Metabolic | Glucose,T32,Metabolic,-0.178,9
Metabolic | Glucose,T33,Metabolic,-0.116,9
Metabolic | Glucose,T34,Metabolic,0.229,9
Metabolic | Glucose,T35,Metabolic,0.592,9
Metabolic | Glucose,T36,Metabolic,0.67,9
Metabolic | HbA1c,T01,Metabolic,1.193,10
Metabolic | HbA1c,T02,Metabolic,1.462,10
Metabolic | HbA1c,T03,Metabolic,1.512,10
Metabolic | HbA1c,T04,Metabolic,1.325,10
Metabolic | HbA1c,T05,Metabolic,1.302,10
Metabolic | HbA1c,T06,Metabolic,1.04,10
Metabolic | HbA1c,T07,Metabolic,0.952,10
Metabolic | HbA1c,T08,Metabolic,0.959,10
Metabolic | HbA1c,T09,Metabolic,0.889,10
Metabolic | HbA1c,T10,Metabolic,0.747,10
Metabolic | HbA1c,T11,Metabolic,0.714,10
Metabolic | HbA1c,T12,Metabolic,0.574,10
Metabolic | HbA1c,T13,Metabolic,0.559,10
Metabolic | HbA1c,T14,Metabolic,0.1,10
Metabolic | HbA1c,T15,Metabolic,-0.037,10
Metabolic | HbA1c,T16,Metabolic,-0.34,10
Metabolic | HbA1c,T17,Metabolic,-0.3,10
Metabolic | HbA1c,T18,Metabolic,-0.692,10
Metabolic | HbA1c,T19,Metabolic,-0.678,10
Metabolic | HbA1c,T20,Metabolic,-0.706,10
Metabolic | HbA1c,T21,Metabolic,-0.913,10
Metabolic | HbA1c,T22,Metabolic,-1.472,10
Metabolic | HbA1c,T23,Metabolic,-1.443,10
Metabolic | HbA1c,T24,Metabolic,-1.686,10
Metabolic | HbA1c,T25,Metabolic,-1.73,10
Metabolic | HbA1c,T26,Metabolic,-1.549,10
Metabolic | HbA1c,T27,Metabolic,-1.257,10
Metabolic | HbA1c,T28,Metabolic,-1.098,10
Metabolic | HbA1c,T29,Metabolic,-0.963,10
Metabolic | HbA1c,T30,Metabolic,-0.529,10
Metabolic | HbA1c,T31,Metabolic,-0.517,10
Metabolic | HbA1c,T32,Metabolic,-0.058,10
Metabolic | HbA1c,T33,Metabolic,0.235,10
Metabolic | HbA1c,T34,Metabolic,0.602,10
Metabolic | HbA1c,T35,Metabolic,0.81,10
Metabolic | HbA1c,T36,Metabolic,0.992,10
Metabolic | Insulin,T01,Metabolic,1.375,11
Metabolic | Insulin,T02,Metabolic,1.491,11
Metabolic | Insulin,T03,Metabolic,1.558,11
Metabolic | Insulin,T04,Metabolic,1.443,11
Metabolic | Insulin,T05,Metabolic,1.257,11
Metabolic | Insulin,T06,Metabolic,1.161,11
Metabolic | Insulin,T07,Metabolic,1.032,11
Metabolic | Insulin,T08,Metabolic,0.728,11
Metabolic | Insulin,T09,Metabolic,0.671,11
Metabolic | Insulin,T10,Metabolic,0.718,11
Metabolic | Insulin,T11,Metabolic,0.363,11
Metabolic | Insulin,T12,Metabolic,0.544,11
Metabolic | Insulin,T13,Metabolic,-0.01,11
Metabolic | Insulin,T14,Metabolic,-0.137,11
Metabolic | Insulin,T15,Metabolic,-0.443,11
Metabolic | Insulin,T16,Metabolic,-0.293,11
Metabolic | Insulin,T17,Metabolic,-0.746,11
Metabolic | Insulin,T18,Metabolic,-0.857,11
Metabolic | Insulin,T19,Metabolic,-0.943,11
Metabolic | Insulin,T20,Metabolic,-1.005,11
Metabolic | Insulin,T21,Metabolic,-1.189,11
Metabolic | Insulin,T22,Metabolic,-1.311,11
Metabolic | Insulin,T23,Metabolic,-1.811,11
Metabolic | Insulin,T24,Metabolic,-1.469,11
Metabolic | Insulin,T25,Metabolic,-1.451,11
Metabolic | Insulin,T26,Metabolic,-1.227,11
Metabolic | Insulin,T27,Metabolic,-1.013,11
Metabolic | Insulin,T28,Metabolic,-0.944,11
Metabolic | Insulin,T29,Metabolic,-0.562,11
Metabolic | Insulin,T30,Metabolic,-0.491,11
Metabolic | Insulin,T31,Metabolic,0.013,11
Metabolic | Insulin,T32,Metabolic,0.156,11
Metabolic | Insulin,T33,Metabolic,0.37,11
Metabolic | Insulin,T34,Metabolic,0.74,11
Metabolic | Insulin,T35,Metabolic,1.133,11
Metabolic | Insulin,T36,Metabolic,1.151,11
Metabolic | HOMA_IR,T01,Metabolic,1.747,12
Metabolic | HOMA_IR,T02,Metabolic,1.495,12
Metabolic | HOMA_IR,T03,Metabolic,1.752,12
Metabolic | HOMA_IR,T04,Metabolic,1.394,12
Metabolic | HOMA_IR,T05,Metabolic,1.346,12
Metabolic | HOMA_IR,T06,Metabolic,1.123,12
Metabolic | HOMA_IR,T07,Metabolic,0.97,12
Metabolic | HOMA_IR,T08,Metabolic,0.726,12
Metabolic | HOMA_IR,T09,Metabolic,0.445,12
Metabolic | HOMA_IR,T10,Metabolic,0.586,12
Metabolic | HOMA_IR,T11,Metabolic,0.601,12
Metabolic | HOMA_IR,T12,Metabolic,0.09,12
Metabolic | HOMA_IR,T13,Metabolic,-0.328,12
Metabolic | HOMA_IR,T14,Metabolic,-0.249,12
Metabolic | HOMA_IR,T15,Metabolic,-0.628,12
Metabolic | HOMA_IR,T16,Metabolic,-0.791,12
Metabolic | HOMA_IR,T17,Metabolic,-0.8,12
Metabolic | HOMA_IR,T18,Metabolic,-1.0,12
Metabolic | HOMA_IR,T19,Metabolic,-1.0,12
Metabolic | HOMA_IR,T20,Metabolic,-1.022,12
Metabolic | HOMA_IR,T21,Metabolic,-0.871,12
Metabolic | HOMA_IR,T22,Metabolic,-1.194,12
Metabolic | HOMA_IR,T23,Metabolic,-1.479,12
Metabolic | HOMA_IR,T24,Metabolic,-1.516,12
Metabolic | HOMA_IR,T25,Metabolic,-1.28,12
Metabolic | HOMA_IR,T26,Metabolic,-1.347,12
Metabolic | HOMA_IR,T27,Metabolic,-1.22,12
Metabolic | HOMA_IR,T28,Metabolic,-0.656,12
Metabolic | HOMA_IR,T29,Metabolic,-0.391,12
Metabolic | HOMA_IR,T30,Metabolic,-0.283,12
Metabolic | HOMA_IR,T31,Metabolic,0.086,12
Metabolic | HOMA_IR,T32,Metabolic,0.34,12
Metabolic | HOMA_IR,T33,Metabolic,0.666,12
Metabolic | HOMA_IR,T34,Metabolic,0.911,12
Metabolic | HOMA_IR,T35,Metabolic,0.638,12
Metabolic | HOMA_IR,T36,Metabolic,1.136,12
Metabolic | Leptin,T01,Metabolic,1.724,13
Metabolic | Leptin,T02,Metabolic,1.626,13
Metabolic | Leptin,T03,Metabolic,1.736,13
Metabolic | Leptin,T04,Metabolic,1.793,13
Metabolic | Leptin,T05,Metabolic,1.436,13
Metabolic | Leptin,T06,Metabolic,1.512,13
Metabolic | Leptin,T07,Metabolic,1.179,13
Metabolic | Leptin,T08,Metabolic,0.701,13
Metabolic | Leptin,T09,Metabolic,0.565,13
Metabolic | Leptin,T10,Metabolic,-0.124,13
Metabolic | Leptin,T11,Metabolic,0.354,13
Metabolic | Leptin,T12,Metabolic,-0.074,13
Metabolic | Leptin,T13,Metabolic,-0.007,13
Metabolic | Leptin,T14,Metabolic,-0.376,13
Metabolic | Leptin,T15,Metabolic,-0.577,13
Metabolic | Leptin,T16,Metabolic,-0.637,13
Metabolic | Leptin,T17,Metabolic,-1.052,13
Metabolic | Leptin,T18,Metabolic,-0.504,13
Metabolic | Leptin,T19,Metabolic,-0.925,13
Metabolic | Leptin,T20,Metabolic,-1.26,13
Metabolic | Leptin,T21,Metabolic,-1.134,13
Metabolic | Leptin,T22,Metabolic,-1.193,13
Metabolic | Leptin,T23,Metabolic,-1.082,13
Metabolic | Leptin,T24,Metabolic,-1.501,13
Metabolic | Leptin,T25,Metabolic,-1.331,13
Metabolic | Leptin,T26,Metabolic,-1.188,13
Metabolic | Leptin,T27,Metabolic,-1.073,13
Metabolic | Leptin,T28,Metabolic,-0.566,13
Metabolic | Leptin,T29,Metabolic,-0.38,13
Metabolic | Leptin,T30,Metabolic,-0.035,13
Metabolic | Leptin,T31,Metabolic,-0.154,13
Metabolic | Leptin,T32,Metabolic,0.438,13
Metabolic | Leptin,T33,Metabolic,0.096,13
Metabolic | Leptin,T34,Metabolic,0.341,13
Metabolic | Leptin,T35,Metabolic,0.609,13
Metabolic | Leptin,T36,Metabolic,1.063,13
Metabolic | Adiponectin,T01,Metabolic,2.033,14
Metabolic | Adiponectin,T02,Metabolic,1.523,14
Metabolic | Adiponectin,T03,Metabolic,1.623,14
Metabolic | Adiponectin,T04,Metabolic,1.632,14
Metabolic | Adiponectin,T05,Metabolic,1.72,14
Metabolic | Adiponectin,T06,Metabolic,1.044,14
Metabolic | Adiponectin,T07,Metabolic,0.765,14
Metabolic | Adiponectin,T08,Metabolic,0.285,14
Metabolic | Adiponectin,T09,Metabolic,0.512,14
Metabolic | Adiponectin,T10,Metabolic,1.156,14
Metabolic | Adiponectin,T11,Metabolic,0.657,14
Metabolic | Adiponectin,T12,Metabolic,0.092,14
Metabolic | Adiponectin,T13,Metabolic,0.412,14
Metabolic | Adiponectin,T14,Metabolic,-0.815,14
Metabolic | Adiponectin,T15,Metabolic,-0.534,14
Metabolic | Adiponectin,T16,Metabolic,-0.838,14
Metabolic | Adiponectin,T17,Metabolic,-1.412,14
Metabolic | Adiponectin,T18,Metabolic,-1.875,14
Metabolic | Adiponectin,T19,Metabolic,-0.232,14
Metabolic | Adiponectin,T20,Metabolic,-0.8,14
Metabolic | Adiponectin,T21,Metabolic,-1.028,14
Metabolic | Adiponectin,T22,Metabolic,-0.606,14
Metabolic | Adiponectin,T23,Metabolic,-0.812,14
Metabolic | Adiponectin,T24,Metabolic,-0.654,14
Metabolic | Adiponectin,T25,Metabolic,-1.389,14
Metabolic | Adiponectin,T26,Metabolic,-0.905,14
Metabolic | Adiponectin,T27,Metabolic,-1.311,14
Metabolic | Adiponectin,T28,Metabolic,-0.433,14
Metabolic | Adiponectin,T29,Metabolic,-0.55,14
Metabolic | Adiponectin,T30,Metabolic,-0.319,14
Metabolic | Adiponectin,T31,Metabolic,-0.372,14
Metabolic | Adiponectin,T32,Metabolic,-0.275,14
Metabolic | Adiponectin,T33,Metabolic,-0.327,14
Metabolic | Adiponectin,T34,Metabolic,0.53,14
Metabolic | Adiponectin,T35,Metabolic,1.037,14
Metabolic | Adiponectin,T36,Metabolic,0.467,14
Metabolic | C_Peptide,T01,Metabolic,1.514,15
Metabolic | C_Peptide,T02,Metabolic,1.609,15
Metabolic | C_Peptide,T03,Metabolic,1.39,15
Metabolic | C_Peptide,T04,Metabolic,0.28,15
Metabolic | C_Peptide,T05,Metabolic,0.207,15
Metabolic | C_Peptide,T06,Metabolic,0.276,15
Metabolic | C_Peptide,T07,Metabolic,-0.842,15
Metabolic | C_Peptide,T08,Metabolic,1.464,15
Metabolic | C_Peptide,T09,Metabolic,0.891,15
Metabolic | C_Peptide,T10,Metabolic,0.805,15
Metabolic | C_Peptide,T11,Metabolic,-0.593,15
Metabolic | C_Peptide,T12,Metabolic,-0.623,15
Metabolic | C_Peptide,T13,Metabolic,-0.025,15
Metabolic | C_Peptide,T14,Metabolic,0.492,15
Metabolic | C_Peptide,T15,Metabolic,-1.987,15
Metabolic | C_Peptide,T16,Metabolic,-1.308,15
